01/00-infamy.md#infamy	infâmia
04/01-character-stats.md#gear	equipamentos
04/01-character-stats.md#motivations	motivações
04/02-character-creation-overview.md#character-creation-overview	resumo-da-criação-de-personagem
04/03-character-creation-advice.md#character-creation-advice	conselhos-para-criação-de-personagem
04/03-character-creation-advice.md#create-as-a-group	crie-como-um-grupo
04/03-character-creation-advice.md#plan-ahead	planeje-com-antecedência
04/03-character-creation-advice.md#playing-an-async	interpretando-um-assincro
04/04-step-1-background.md#step-1-background	passo-1-antecedente
04/04-step-1-background.md#colonist	colono
04/04-step-1-background.md#enclaver	enclavado
04/04-step-1-background.md#freelancer	freelancer
04/04-step-1-background.md#hyperelite	hiperelite
04/04-step-1-background.md#indenture	arrendado
04/04-step-1-background.md#infolife	infovida
04/04-step-1-background.md#isolate	isolado
04/04-step-1-background.md#lost	perdido
04/04-step-1-background.md#underclass	miserável
04/04-step-1-background.md#uplift	elevado
04/04-step-1-background.md#random-background	antecedente-aleatório
04/05-step-2-career.md#step-2-career	passo-2-carreira
04/05-step-2-career.md#academic	acadêmico
04/05-step-2-career.md#covert-operative	agente-infiltrado
04/05-step-2-career.md#enforcer	capanga
04/05-step-2-career.md#explorer	explorador
04/05-step-2-career.md#face	malandro
04/05-step-2-career.md#genehacker	hacker-genético
04/05-step-2-career.md#hacker	hacker
04/05-step-2-career.md#investigator	investigador
04/05-step-2-career.md#medic	médico
04/05-step-2-career.md#mindhacker	hacker-mental
04/05-step-2-career.md#scavenger	sucateiro
04/05-step-2-career.md#scientist	cientista
04/05-step-2-career.md#soldier	soldado
04/05-step-2-career.md#techie	técnico
04/05-step-2-career.md#random-career	carreira-aleatória
04/06-step-3-interest.md#step-3-interest	passo-3-interesse
04/06-step-3-interest.md#animal-handler	tratador-de-animais
04/06-step-3-interest.md#artisticon	artistaícone
04/06-step-3-interest.md#async	assincro
04/06-step-3-interest.md#commander	comandante
04/06-step-3-interest.md#fighter	combatente
04/06-step-3-interest.md#forensics-specialist	perito-forense
04/06-step-3-interest.md#jack-of-all-trades	faz-tudo
04/06-step-3-interest.md#jammer	encarnador
04/06-step-3-interest.md#networker	socializador
04/06-step-3-interest.md#paramedic	paramédico
04/06-step-3-interest.md#pilot	piloto
04/06-step-3-interest.md#rogue	ladino
04/06-step-3-interest.md#slacker	hedonista
04/06-step-3-interest.md#spacer	espaçonauta
04/06-step-3-interest.md#student	estudante
04/06-step-3-interest.md#survivalist	sobrevivencialista
04/06-step-3-interest.md#random-interest	interesse-aleatório
04/07-step-4-faction.md#step-4-faction	passo-4-facção
04/07-step-4-faction.md#factions	facções
04/08-step-5-aptitude-template.md#step-5-aptitude-template	passo-5-modelo-de-aptidões
04/08-step-5-aptitude-template.md#actioneer	prático
04/08-step-5-aptitude-template.md#extrovert	extrovertido
04/08-step-5-aptitude-template.md#facilitator	facilitador
04/08-step-5-aptitude-template.md#factotum	generalista
04/08-step-5-aptitude-template.md#inquirer	indagador
04/08-step-5-aptitude-template.md#survivor	sobrevivente
04/08-step-5-aptitude-template.md#thrill-seeker	aventureiro
04/08-step-5-aptitude-template.md#aptitude-template	modelo-de-aptidões
04/09-step-6-total-skills.md#step-6-total-skills	passo-6-totalização-de-perícias
04/09-step-6-total-skills.md#skill-summaries	lista-de-perícias
04/10-step-7-languages.md#step-7-languages	passo-7-idiomas
04/11-step-8-flex.md#step-8-flex	passo-8-flex
04/12-step-9-reputation.md#step-9-reputation	passo-9-reputação
04/13-step-10-customization.md#step-10-customization	passo-10-personalização
04/13-step-10-customization.md#increased-aptitude	aumento-de-aptidão
04/13-step-10-customization.md#ego-traits	traços-de-ego
04/13-step-10-customization.md#increased-flex	aumento-de-flex
04/13-step-10-customization.md#extra-languages	idiomas-adicionais
04/13-step-10-customization.md#extra-rep	rep-adicional
04/13-step-10-customization.md#extra-skills	perícias-adicionais
04/13-step-10-customization.md#psi-sleights	truques-psi
04/13-step-10-customization.md#specializations	especializações
04/13-step-10-customization.md#customization-costs	custos-de-personalização
04/14-step-11-derived-stats.md#step-11-derived-stats	passo-11-atributos-derivados
04/15-step-12-starting-morph-gear.md#step-12-starting-morph--gear	passo-12-morfo--equipamentos-iniciais
04/15-step-12-starting-morph-gear.md#starting-morphs	morfos-iniciais
04/15-step-12-starting-morph-gear.md#morph-traits	traços-de-morfo
04/15-step-12-starting-morph-gear.md#extra-gear	equipamentos-adicionais
04/15-step-12-starting-morph-gear.md#flex-points	pontos-de-flex
04/16-step-13-motivations.md#step-13-motivations	passo-13-motivações
04/16-step-13-motivations.md#optional-motivational-goals	opcional-objetivos-motivacionais
04/16-step-13-motivations.md#motivation-examples	motivações-de-exemplo
04/17-final-touches.md#final-touches	toques-finais
04/17-final-touches.md#point-buy-character-creation	criação-de-personagem-por-pontos
04/18-skills.md#skills	perícias
04/18-skills.md#skills-and-aptitudes	perícias-e-aptidões
04/18-skills.md#aptitude-ranges	faixas-de-aptidão
04/18-skills.md#skill-ranges	faixas-de-perícia
04/18-skills.md#skill-categories	categorias-de-perícia
04/18-skills.md#field-skills	perícias-de-área
04/18-skills.md#specializations	especializações
04/19-active-skill-list.md#active-skill-list	lista-de-perícias-ativas
04/19-active-skill-list.md#skill-list	lista-de-perícias
04/19-active-skill-list.md#athletics	atletismo
04/19-active-skill-list.md#deceive	enganação
04/19-active-skill-list.md#exotic-skill-field	perícia-exótica-área
04/19-active-skill-list.md#fray	evasão
04/19-active-skill-list.md#free-fall	queda-livre
04/19-active-skill-list.md#guns	tiro
04/19-active-skill-list.md#hardware-field	aparelhagem-área
04/19-active-skill-list.md#infiltrate	infiltração
04/19-active-skill-list.md#infosec	infoseg
04/19-active-skill-list.md#interface	interface
04/19-active-skill-list.md#kinesics	cinésica
04/19-active-skill-list.md#medicine-field	medicina-área
04/19-active-skill-list.md#melee	luta
04/19-active-skill-list.md#perceive	percepção
04/19-active-skill-list.md#persuade	persuasão
04/19-active-skill-list.md#pilot-field	pilotagem-área
04/19-active-skill-list.md#program	programação
04/19-active-skill-list.md#provoke	provocação
04/19-active-skill-list.md#psi	psi
04/19-active-skill-list.md#research	pesquisa
04/19-active-skill-list.md#survival	sobrevivência
04/20-know-skills.md#know-skills	perícias-de-saber
04/20-know-skills.md#know-field	saber-área
04/20-know-skills.md#academics	acadêmicas
04/20-know-skills.md#arts	artes
04/20-know-skills.md#interests	interesses
04/20-know-skills.md#professional-training	treinamentos-profissionais
04/20-know-skills.md#using-know-skills	usando-perícias-de-saber
04/20-know-skills.md#the-knowledge-behind-active-skills	o-conhecimento-por-trás-das-perícias-ativas
04/20-know-skills.md#complementary-skills	perícias-complementares
04/20-know-skills.md#complementary-skill-bonus-table	tabela-de-bônus-de-perícia-complementar
04/21-morphs.md#morphs	morfos
04/21-morphs.md#morph-list	lista-de-morfos
04/22-common-biomorphs.md#common-biomorphs	biomorfos-comuns
04/22-common-biomorphs.md#biomorphs-with-cyberbrains	biomorfos-com-cibercérebros
04/22-common-biomorphs.md#flat	intocado
04/22-common-biomorphs.md#flat-1	intocado-1
04/22-common-biomorphs.md#splicer	tratado
04/22-common-biomorphs.md#splicer-1	tratado-1
04/22-common-biomorphs.md#exalt	exalto
04/22-common-biomorphs.md#exalt-1	exalto-1
04/22-common-biomorphs.md#neotenic	neotênico
04/22-common-biomorphs.md#neotenic-1	neotênico-1
04/22-common-biomorphs.md#ruster	ferrugeiro
04/22-common-biomorphs.md#ruster-1	ferrugeiro-1
04/22-common-biomorphs.md#bouncer	quicante
04/22-common-biomorphs.md#bouncer-1	quicante-1
04/22-common-biomorphs.md#futura	futura
04/22-common-biomorphs.md#futura-1	futura-1
04/22-common-biomorphs.md#hibernoid	hibernoide
04/22-common-biomorphs.md#hibernoid-1	hibernoide-1
04/22-common-biomorphs.md#menton	menton
04/22-common-biomorphs.md#menton-1	menton-1
04/22-common-biomorphs.md#olympian	olímpico
04/22-common-biomorphs.md#olympian-1	olímpico-1
04/22-common-biomorphs.md#sylph	sílfide
04/22-common-biomorphs.md#sylph-1	sílfide-1
04/22-common-biomorphs.md#fury	fúria
04/22-common-biomorphs.md#fury-1	fúria-1
04/22-common-biomorphs.md#ghost	fantasma
04/22-common-biomorphs.md#ghost-1	fantasma-1
04/22-common-biomorphs.md#remade	refeito
04/22-common-biomorphs.md#remade-1	refeito-1
04/23-pod-biomorphs.md#pod-biomorphs	biomorfos-prods
04/23-pod-biomorphs.md#basic-pod	prod-básico
04/23-pod-biomorphs.md#basic-pod-1	prod-básico-1
04/23-pod-biomorphs.md#worker-pod	prod-de-trabalho
04/23-pod-biomorphs.md#worker-pod-1	prod-de-trabalho-1
04/23-pod-biomorphs.md#novacrab	novacarangu
04/23-pod-biomorphs.md#novacrab-1	novacarangu-1
04/23-pod-biomorphs.md#pleasure-pod	prod-de-prazer
04/23-pod-biomorphs.md#pleasure-pod-1	prod-de-prazer-1
04/23-pod-biomorphs.md#security-pod	prod-de-segurança
04/23-pod-biomorphs.md#security-pod-1	prod-de-segurança-1
04/23-pod-biomorphs.md#shaper	moldável
04/23-pod-biomorphs.md#shaper-1	moldável-1
04/24-uplift-biomorphs.md#uplift-biomorphs	biomorfos-elevados
04/24-uplift-biomorphs.md#neo-avian	neo-ave
04/24-uplift-biomorphs.md#neo-avian-1	neo-ave-1
04/24-uplift-biomorphs.md#neo-bonoboneo-chimpanzee	neo-bonoboneo-chimpanzé
04/24-uplift-biomorphs.md#neo-bonoboneo-chimpanzee-1	neo-bonoboneo-chimpanzé-1
04/24-uplift-biomorphs.md#neo-neanderthal	neo-neandertal
04/24-uplift-biomorphs.md#neo-neanderthal-1	neo-neandertal-1
04/24-uplift-biomorphs.md#neo-gorilla	neo-gorila
04/24-uplift-biomorphs.md#neo-gorilla-1	neo-gorila-1
04/24-uplift-biomorphs.md#neo-octopus	neo-polvo
04/24-uplift-biomorphs.md#neo-octopus-1	neo-polvo-1
04/24-uplift-biomorphs.md#neo-orangutan	neo-orangutango
04/24-uplift-biomorphs.md#neo-orangutan-1	neo-orangutango-1
04/25-synthmorphs.md#synthmorphs	sintemorfos
04/25-synthmorphs.md#synthmorph-characteristics	características-de-sintemorfos
04/25-synthmorphs.md#lack-of-biological-functions	ausência-de-funções-biológicas
04/25-synthmorphs.md#pain-filter	filtro-de-dor
04/25-synthmorphs.md#immunity-to-shock	imunidade-a-choques
04/25-synthmorphs.md#environmental-durability	durabilidade-ambiental
04/25-synthmorphs.md#toughness	resistência
04/25-synthmorphs.md#case	chapeado
04/25-synthmorphs.md#case-1	chapeado-1
04/25-synthmorphs.md#spare	sobressalente
04/25-synthmorphs.md#spare-1	sobressalente-1
04/25-synthmorphs.md#dragonfly	libélula
04/25-synthmorphs.md#dragonfly-1	libélula-1
04/25-synthmorphs.md#swarmanoid	enxamenoide
04/25-synthmorphs.md#swarmanoid-1	enxamenoide-1
04/25-synthmorphs.md#synth	sinte
04/25-synthmorphs.md#synth-1	sinte-1
04/25-synthmorphs.md#savant	savant
04/25-synthmorphs.md#savant-1	savant-1
04/25-synthmorphs.md#galatea	galateia
04/25-synthmorphs.md#galatea-1	galateia-1
04/25-synthmorphs.md#slitheroid	serpentoide
04/25-synthmorphs.md#slitheroid-1	serpentoide-1
04/25-synthmorphs.md#steel-morph	morfo-de-aço
04/25-synthmorphs.md#steel-morph-1	morfo-de-aço-1
04/25-synthmorphs.md#arachnoid	aracnoide
04/25-synthmorphs.md#arachnoid-1	aracnoide-1
04/25-synthmorphs.md#reaper	ceifeiro
04/25-synthmorphs.md#reaper-1	ceifeiro-1
04/25-synthmorphs.md#flexbot	flexbot
04/25-synthmorphs.md#flexbot-rules	regras-de-flexbots
04/25-synthmorphs.md#all-flexbots	todos-os-flexbots
04/25-synthmorphs.md#all-flexbots-1	todos-os-flexbots-1
04/25-synthmorphs.md#crafter-module	módulo-construtor
04/25-synthmorphs.md#crafter-module-1	módulo-construtor-1
04/25-synthmorphs.md#rogue-module	módulo-ladino
04/25-synthmorphs.md#rogue-module-1	módulo-ladino-1
04/25-synthmorphs.md#wizard-module	módulo-feiticeiro
04/25-synthmorphs.md#wizard-module-1	módulo-feiticeiro-1
04/25-synthmorphs.md#fighter-module	módulo-guerreiro
04/25-synthmorphs.md#fighter-module-1	módulo-guerreiro-1
04/26-infomorphs.md#infomorphs	infomorfos
04/26-infomorphs.md#digimorph	digimorfo
04/26-infomorphs.md#digimorph-1	digimorfo-1
04/26-infomorphs.md#ikon	ikon
04/26-infomorphs.md#ikon-1	ikon-1
04/26-infomorphs.md#agent	agente
04/26-infomorphs.md#agent-1	agente-1
04/26-infomorphs.md#operator	operador
04/26-infomorphs.md#operator-1	operador-1
04/27-gear-packs.md#gear-packs	pacotes-de-equipamentos
04/27-gear-packs.md#campaign-packs	pacotes-de-campanha
04/27-gear-packs.md#firewall-agentcriminal	agente-da-firewallcriminoso
04/27-gear-packs.md#-synthmorph-alternative	-alternativa-para-sintemorfo
04/27-gear-packs.md#gatecrashing	desbravador
04/27-gear-packs.md#-synthmorph-alternative-1	-alternativa-para-sintemorfo-1
04/27-gear-packs.md#optional-pack-infomorph	pacote-opcional-infomorfo
04/27-gear-packs.md#profession-packs	pacotes-de-profissão
04/27-gear-packs.md#academic	acadêmico
04/27-gear-packs.md#covert-operative	agente-infiltrado
04/27-gear-packs.md#-synthmorph-alternative-2	-alternativa-para-sintemorfo-2
04/27-gear-packs.md#enforcer	capanga
04/27-gear-packs.md#explorer	explorador
04/27-gear-packs.md#facedealer	malandro
04/27-gear-packs.md#genehacker	hacker-genético
04/27-gear-packs.md#hacker	hacker
04/27-gear-packs.md#investigator	investigador
04/27-gear-packs.md#medic	médico
04/27-gear-packs.md#mindhacker	hacker-mental
04/27-gear-packs.md#scavenger	sucateiro
04/27-gear-packs.md#scientist	cientista
04/27-gear-packs.md#soldier	soldado
04/27-gear-packs.md#-synthmorph-alternative-3	-alternativa-para-sintemorfo-3
04/27-gear-packs.md#techie	técnico
04/28-traits.md#traits	traços
04/28-traits.md#positive-traits	traços-positivos
04/28-traits.md#positive-ego-traits	traços-positivos-de-ego
04/28-traits.md#positive-morph-traits	traços-positivos-de-morfo
04/28-traits.md#acumen	perspicácia
04/28-traits.md#adaptability	adaptabilidade
04/28-traits.md#allies	aliados
04/28-traits.md#animal-empathy	empatia-com-animais
04/28-traits.md#common-sense	bom-senso
04/28-traits.md#composure	compostura
04/28-traits.md#contact	contato
04/28-traits.md#danger-sense	senso-de-perigo
04/28-traits.md#digital-speed	velocidade-digital
04/28-traits.md#direction-sense	sentido-direcional
04/28-traits.md#dominant-strain	cepa-dominante
04/28-traits.md#drone-affinity	afinidade-com-drones
04/28-traits.md#empathy	empatia
04/28-traits.md#expert-training	treinamento-especializado
04/28-traits.md#fitness	alto-desempenho
04/28-traits.md#good-instincts	bons-instintos
04/28-traits.md#hardening	calejamento
04/28-traits.md#hyper-linguistics	hiperlinguística
04/28-traits.md#improved-immune-system	sistema-imune-aperfeiçoado
04/28-traits.md#innocuous-looks	aparência-genérica
04/28-traits.md#lethal	letalidade
04/28-traits.md#limberness	flexibilidade
04/28-traits.md#morph-familiarity	familiaridade-com-morfo
04/28-traits.md#natural-immunity	imunidade-natural
04/28-traits.md#pain-tolerance	tolerância-à-dor
04/28-traits.md#patron	patrono
04/28-traits.md#psi	psi
04/28-traits.md#psi-camouflage	camuflagem-psi
04/28-traits.md#psi-defense	defesa-psi
04/28-traits.md#quickness	rapidez
04/28-traits.md#rapid-healing	cura-rápida
04/28-traits.md#resolve	determinação
04/28-traits.md#resources	recursos
04/28-traits.md#situational-awareness	consciência-situacional
04/28-traits.md#skill-artifact	resíduo-pericial
04/28-traits.md#spatial-visualization	visualização-espacial
04/28-traits.md#stalwart	intrépido
04/28-traits.md#striking-looks	aparência-marcante
04/28-traits.md#superior-numeracy	facilidade-com-números
04/28-traits.md#toughness	resistência
04/28-traits.md#zoosemiotics	zoosemiótica
04/28-traits.md#negative-traits	traços-negativos
04/28-traits.md#negative-ego-traits	traços-negativos-de-ego
04/28-traits.md#negative-morph-traits	traços-negativos-de-morfo
04/28-traits.md#addiction	vício
04/28-traits.md#age	velhice
04/28-traits.md#bad-luck	má-sorte
04/28-traits.md#black-mark	mácula
04/28-traits.md#blocklisted-rep	rep-bloqueada
04/28-traits.md#combat-paralysis	paralisia-de-combate
04/28-traits.md#dominant-limb	membro-dominante
04/28-traits.md#edited-memories	memórias-editadas
04/28-traits.md#enemy	inimigo
04/28-traits.md#enhanced-behavior	comportamento-acentuado
04/28-traits.md#exotic-morphology	morfologia-exótica
04/28-traits.md#feebleness	fraqueza
04/28-traits.md#frailty	fragilidade
04/28-traits.md#genetic-defect	defeito-genético
04/28-traits.md#hypersensitivity	hipersensibilidade
04/28-traits.md#identity-crisis	crise-de-identidade
04/28-traits.md#indifference	indiferença
04/28-traits.md#infection-risk	risco-de-infecção
04/28-traits.md#inherent-flaws	falhas-inerentes
04/28-traits.md#instability	instabilidade
04/28-traits.md#low-pain-tolerance	baixa-tolerância-à-dor
04/28-traits.md#memory-artifact	resíduo-memorial
04/28-traits.md#mental-disorder	transtorno-mental
04/28-traits.md#morphing-disorder	transtorno-mórfico
04/28-traits.md#neural-damage	dano-neural
04/28-traits.md#no-backup-insurance	sem-seguro-de-backup
04/28-traits.md#non-human-biochemistry	bioquímica-não-humana
04/28-traits.md#obliviousness	desatenção
04/28-traits.md#obtuseness	estupidez
04/28-traits.md#planned-obsolescence	obsolescência-programada
04/28-traits.md#poor-coordination	baixa-coordenação
04/28-traits.md#poor-instincts	maus-instintos
04/28-traits.md#proprietary-tech	tecnologia-proprietária
04/28-traits.md#psi-vulnerability	vulnerabilidade-psi
04/28-traits.md#real-world-naiveté	inexperiência-no-mundo-real
04/28-traits.md#restricted-behavior	comportamento-restrito
04/28-traits.md#sensitive	sensitividade
04/28-traits.md#severe-allergy	alergia-grave
04/28-traits.md#skill-glitch	defeito-pericial
04/28-traits.md#timidity	timidez
04/28-traits.md#unattractiveness	feiura
04/28-traits.md#vr-vertigo	vertigem-de-rv
04/28-traits.md#weak-immune-system	sistema-imune-debilitado
04/28-traits.md#zero-g-nausea	náusea-em-zero-g
04/29-character-creation-example.md#character-creation-example	exemplo-de-criação-de-personagem
05/00-sample-characters.md#sample-characters	personagem-prontos
06/00-how-it-came-to-be.md#how-it-came-to-be	como-aconteceu
06/01-slouching-towards-singularity.md#slouching-towards-singularity	vagueando-rumo-a-singularidade
06/01-slouching-towards-singularity.md#before-the-fall	antes-da-queda
06/01-slouching-towards-singularity.md#climate-crises	crises-climáticas
06/01-slouching-towards-singularity.md#disruptive-technologies	tecnologias-disruptivas
06/01-slouching-towards-singularity.md#a-new-space-race	uma-nova-corrida-espacial
06/01-slouching-towards-singularity.md#paradigm-shifts	mudanças-de-paradigma
06/01-slouching-towards-singularity.md#the-fall	a-queda
06/01-slouching-towards-singularity.md#the-titans	as-titans
06/01-slouching-towards-singularity.md#slow-burn	queima-lenta
06/01-slouching-towards-singularity.md#hot-war	guerra-quente
06/01-slouching-towards-singularity.md#extended-fight	combate-estendido
06/01-slouching-towards-singularity.md#exodus	êxodo
06/01-slouching-towards-singularity.md#after-the-fall	depois-da-queda
06/01-slouching-towards-singularity.md#reconsolidation	reconsolidação
06/01-slouching-towards-singularity.md#the-infugee-crisis	a-crise-dos-infugiados
06/01-slouching-towards-singularity.md#the-autonomist-threat	a-ameaça-autonomista
06/01-slouching-towards-singularity.md#the-lost-generation	a-geração-perdida
06/01-slouching-towards-singularity.md#pandora-gates	portões-de-pandora
06/01-slouching-towards-singularity.md#the-factors	os-factores
06/01-slouching-towards-singularity.md#morningstar	estrela-dalva
06/01-slouching-towards-singularity.md#the-path-ahead	o-caminho-adiante
06/02-timeline.md#timeline	cronologia
06/02-timeline.md#bf-8060	aq-8060
06/02-timeline.md#bf-6040	aq-6040
06/02-timeline.md#bf-4020	aq-4020
06/02-timeline.md#bf-200	aq-200
06/02-timeline.md#the-fall-2-years	a-queda-2-anos
06/02-timeline.md#af-010	dq-010
06/02-timeline.md#10-af	10-dq
07/00-accelerated-future.md#accelerated-future	futuro-acelerado
08/00-transhuman-culture.md#transhuman-culture	cultura-transumana
09/00-the-new-political-economy.md#the-new-political-economy	a-nova-economia-política
10/00-factions.md#factions	facções
11/00-system-gazetteer.md#system-gazetteer	catálogo-do-sistema
12/00-action-and-combat.md#action--combat	ação--combate
12/01-resolving-combat.md#resolving-combat	resolução-de-combate
12/01-resolving-combat.md#combat-summary	resumo-do-combate
12/01-resolving-combat.md#step-1-declare-attack	passo-1-declarar-o-ataque
12/01-resolving-combat.md#step-2-declare-defense	passo-2-declarar-a-defesa
12/01-resolving-combat.md#step-3-apply-modifiers	passo-3-aplicar-os-modificadores
12/01-resolving-combat.md#combat-modifiers	modificadores-de-combate
12/01-resolving-combat.md#step-4-make-opposed-test	passo-4-fazer-o-teste-oposto
